9.02,35,9.05,1.03,1,7
9.05,38,9.25,1.09,2,7
9.07,36,9.80,1.31,2,7
9.13,34,10.41,1.53,2,7
9.15,33,11.75,1.93,2,7
9.17,32,11.85,2.26,2,7
9.23,23,12.82,2.89,2,7
9.25,21,13.79,2.99,2,7
9.27,22,14.62,3.24,2,7
9.33,17,18.03,4.43,2,7
9.35,17,13.77,3.85,2,7
9.37,14,9.68,2.67,2,7
9.39,16,9.20,2.01,2,7
9.43,24,3.65,2.39,2,7
9.45,27,2.76,2.89,2,7
9.47,29,2.23,3.10,2,7
9.53,21,8.14,5.47,2,7
9.55,18,9.74,5.48,2,7
9.57,16,9.49,5.62,2,7
9.63,14,17.09,6.09,2,7
9.65,15,19.36,5.10,2,7
9.67,12,21.34,4.63,2,7
9.73,16,14.38,1.96,2,7
9.75,33,12.78,1.55,2,7
9.77,72,13.65,2.06,2,7
9.83,131,16.75,2.69,3,7
9.85,142,11.98,2.40,3,7
9.87,144,13.63,2.05,3,7
9.89,146,22.71,2.63,3,7
9.94,143,8.34,1.25,0,8
9.96,137,9.70,1.00,0,8
9.98,130,9.43,0.70,0,8
10.04,110,9.29,0.59,1,8
10.06,105,9.12,0.70,1,8
10.08,96,9.50,0.80,1,8
10.14,71,9.30,0.89,1,8
10.16,61,9.59,0.92,1,8
10.18,51,9.50,0.96,1,8
10.24,36,9.48,1.44,2,8
10.26,36,10.53,1.65,2,8
10.28,36,11.66,1.90,2,8
10.34,29,12.31,2.48,2,8
10.36,26,13.04,2.68,2,8
10.38,26,14.31,2.75,2,8
10.44,17,18.64,4.26,2,8
10.46,14,16.55,4.84,2,8
10.48,15,13.60,4.48,2,8
10.54,16,4.82,1.32,2,8
10.56,18,4.39,1.94,2,8
10.58,19,5.45,3.14,2,8
10.64,27,6.59,4.88,2,8
10.66,23,7.97,5.18,2,8
10.68,18,8.87,5.10,2,8
10.74,14,13.15,6.07,2,8
10.76,13,17.03,5.61,2,8
10.78,13,19.06,5.04,2,8
10.84,15,20.23,2.90,2,8
10.86,14,17.58,2.27,2,8
10.89,49,15.20,1.32,2,8
10.94,124,14.80,2.49,3,8
10.97,137,17.35,2.81,3,8
10.99,142,15.17,2.83,3,8
11.04,143,6.07,1.35,0,9
11.06,142,9.64,0.90,0,9
11.09,139,9.36,0.67,0,9
11.14,120,9.83,0.63,0,9
11.17,115,8.96,0.73,1,9
11.19,118,8.82,0.66,1,9
11.24,105,9.68,0.63,1,9
11.27,98,9.38,0.77,1,9
11.29,79,9.21,0.79,1,9
11.35,61,9.91,1.35,2,9
11.37,53,9.46,1.64,2,9
11.39,41,10.19,1.85,2,9
11.45,33,13.39,2.03,2,9
11.47,31,12.54,2.28,2,9
11.49,26,12.92,2.92,2,9
11.55,16,15.66,3.23,2,9
11.57,14,16.67,3.88,2,9
11.59,14,17.01,4.74,2,9
